iteration,exploitability_rate_3_1000
1,1.0
3,1.0
5,1.0
10,1.0
17,1.0
31,1.0
56,1.0
100,0.9955117826352734
177,0.9879248676740652
316,0.9718177575888787
562,0.927991710090499
1000,0.8522948853547803
1778,0.7376276171889086
3162,0.4894332682465331
5623,0.22035721637496714
10000,0.2150653887559165
17782,0.19322147963785086
31622,0.33860863549124204
56234,0.3059537671179514
100000,0.14397612104629268
177827,0.07429423591382887
316227,0.030418763139086015
562341,0.02564428294837538
1000000,0.01700791736312891
