iteration,exploitability_FSP
1,4.7820987654321
3,4.929166666666667
5,4.731898148148148
10,4.754523809523807
17,5.075273093033509
31,4.975001504717114
56,4.913077918643669
100,5.649209577240068
177,5.755645607988304
316,5.469958917609293
562,5.582954840541582
1000,5.342068645307595
1778,5.224847984853506
3162,3.9347583707229505
5623,2.637076244392809
10000,1.8652606928664253
17782,1.4990953236799256
31622,1.0928758877291993
56234,1.0022016024782432
100000,0.8659739673892493
177827,0.7337506517745441
316227,0.5720364638876952
562341,0.520513524999958
1000000,0.47739906930554765
