iteration,exploitability_outcome_sampling_MCCFR
1,4.605092592592591
3,4.491203703703703
5,4.585648148148149
10,5.101927308679422
17,5.180281194178909
31,5.049337290217959
56,5.0372921390010585
100,4.899919506090119
177,4.693862557070949
316,5.296369087268905
562,5.266661098825378
1000,4.122198059603527
1778,3.6189724800140546
3162,2.7047228561029812
5623,2.2474723349185166
10000,1.6684931151231126
17782,1.648779803736609
31622,1.418146929894941
56234,1.103849440649141
100000,1.0150647516880187
177827,0.6885985687325316
316227,0.5720479262738392
562341,0.49290097976683733
1000000,0.41479739405378313
